,別表,,,,,
,,医薬品添加物成分の記載名称リスト,,,,
,,(医薬品添加物事典収載成分),,,,

,,,,,（注１）　成分コードは、FD申請コードを優先している。,
,,,,,（注２）　注射剤については、分量に影響する簡略名は不可とする。,
,,,,,（注３）　日本薬局方品目については、別名も可とする。,
,,,,,"（注４）　アルコールを含有するいわゆるドリンク剤に関するエタノールの記載名は、
　　　　　昭和５９年６月２８日付日薬連発第３３４号に従う。",

,,　　　　　　　　　　　　　　日 本 製 薬 団 体 連 合 会,,,,
,,　　　　　　　　　　　　　　協力：日本医薬品添加剤協会,,,,
,,                                 平 成 １４ 年 ３ 月 １３ 日,,,,
№,成分コード,添加物事典名,複数成分記載(*),"日局収載
(*)",記載名称,
44,120302,アミロペクチン,,,アミロペクチン,
45,120034,アメ粉,,,アメ粉,アメ
46,101962,ＤＬ－アラニン,,,ＤＬ－アラニン,
47,3609,Ｌ－アラニン,,,Ｌ－アラニン,
48,1035,アラビアゴム,,　 ＊,アラビアゴム,
49,1036,アラビアゴム末,, 　＊,アラビアゴム末,アラビアゴム
50,3015,アラントイン,,,アラントイン,
51,111961,アラントイン・ｄｌ－ピロリドンカルボン酸ナトリウム,,,アラントイン・ｄｌ－ピロリドンカルボン酸ナトリウム,アラントイン・ｄｌ－ピロリドンカルボン酸Na
52,1037,亜硫酸水素ナトリウム,,＊,亜硫酸水素ナトリウム,亜硫酸水素Na
53,3016,亜硫酸ナトリウム,,,亜硫酸ナトリウム,亜硫酸Na
54,108506,アリルグリシジルエーテル,,,アリルグリシジルエーテル,
55,3610,Ｌ－アルギニン,,,Ｌ－アルギニン,
56,120303,アルキルアリルスルホン酸カルシウム・ポリオキシエチレンラウリルエーテル混合物,＊,,アルキルアリルスルホン酸カルシウム,アルキルアリルスルホン酸Ca
,,,,＊,ポリオキシエチレンラウリルエーテル,
57,109609,アルキルアリルポリエーテルアルコール,,,アルキルアリルポリエーテルアルコール,
58,120035,アルキルジメチルアミンオキシド液,,,アルキルジメチルアミンオキシド液,アルキルジメチルアミンオキシド
59,120233,アルキルナフタレン系混合溶剤,＊,,ナフタレン,
,,,,,α－メチルナフタレン,
,,,,,β－メチルナフタレン,
,,,,,ジメチルナフタレン,
,,,,,ジフェニル,
60,120304,アルキルナフタレンスルホン酸ナトリウム液,,,アルキルナフタレンスルホン酸ナトリウム液,アルキルナフタレンスルホン酸Na
61,120305,アルキルベンゼンスルホン酸塩・アルキルナフタレンスルホン酸塩混合乳化剤,＊,,アルキルベンゼンスルホン酸塩,
,,,,,アルキルナフタレンスルホン酸塩,
62,120306,アルキルベンゼンスルホン酸塩・アルキルナフタレンスルホン酸塩・ポリオキシエチレンアルキルフェニルエーテル混合乳化剤,＊,,アルキルベンゼンスルホン酸塩,
,,,,,アルキルナフタレンスルホン酸塩,
,,,,,ポリオキシエチレンアルキルフェニルエーテル,
63,120234,アルキルベンゼンスルホン酸塩型乳化剤,,,アルキルベンゼンスルホン酸塩,
64,120307,アルキルベンゼンスルホン酸塩パウダー,,,アルキルベンゼンスルホン酸塩,
65,120236,アルキルベンゼンスルホン酸塩・ポリオキシエチレンアルキルエーテル混合乳化剤,＊,,アルキルベンゼンスルホン酸塩,
,,,,,ポリオキシエチレンアルキルエーテル,
66,120237,アルキルベンゼンスルホン酸塩・ポリオキシエチレンアルキルエーテル・脂肪酸ポリオキシエチレンソルビタン混合乳化剤,＊,,アルキルベンゼンスルホン酸塩,
,,,,,ポリオキシエチレンアルキルエーテル,
,,,,,脂肪酸ポリオキシエチレンソルビタン,
67,120238,アルキルベンゼンスルホン酸塩・ポリオキシエチレンアルキルエーテル・ポリオキシエチレンアルキルフェニルエーテル混合乳化剤,＊,,アルキルベンゼンスルホン酸塩,
,,,,,ポリオキシエチレンアルキルエーテル,
,,,,,ポリオキシエチレンアルキルフェニルエーテル,
68,120240,アルキルベンゼンスルホン酸塩・ポリオキシエチレンアルキルフェニルエーテル混合乳化剤,＊,,アルキルベンゼンスルホン酸塩,
,,,,,ポリオキシエチレンアルキルフェニルエーテル,
69,120245,アルキルベンゼンスルホン酸塩・ポリオキシエチレン多環フェニルエーテル混合乳化剤,＊,,アルキルベンゼンスルホン酸塩,
,,,,,ポリオキシエチレン多環フェニルエーテル,
70,120308,アルキルベンゼンスルホン酸塩・ポリオキシエチレンアルキルフェニルエーテル・ポリオキシエチレンアルキルアリルエーテル混合乳化剤,＊,,アルキルベンゼンスルホン酸塩,
,,,,,ポリオキシエチレンアルキルフェニルエーテル,
,,,,,ポリオキシエチレンアルキルアリルエーテル,
71,120246,アルキルベンゼンスルホン酸塩・ポリオキシエチレンヒマシ油混合乳化剤,＊,,アルキルベンゼンスルホン酸塩,
,,,,,ポリオキシエチレンヒマシ油,
72,100364,アルギン酸,,,アルギン酸,
73,1039,アルギン酸ナトリウム,,,アルギン酸ナトリウム,アルギン酸Na
74,3018,アルギン酸プロピレングリコールエステル,,,アルギン酸プロピレングリコールエステル,
75,100418,アルファー化デンプン,,,アルファー化デンプン,
76,109280,アルファチオグリセリン,,,アルファチオグリセリン,チオグリセリン
77,100359,アルブミン,,,アルブミン,
78,100405,アルモンド油,,,アルモンド油,アーモンド油                                                                                   
79,2023,安息香酸,,　 ＊,安息香酸,
80,120309,安息香酸デナトニウム変性アルコール（９５vol％）,＊,,安息香酸デナトニウム,
,,,, ＊,エタノール,"エチルアルコール
アルコール"
81,2024,安息香酸ナトリウム,,   ＊,安息香酸ナトリウム,安息香酸Na
82,2025,安息香酸ベンジル,,　 ＊,安息香酸ベンジル,
83,120015,アンソッコウ,,   ＊,アンソッコウ,
84,120310,アンソッコウチンキ,＊,,アンソッコウチンキ,
,,,, ＊,エタノール,"エチルアルコール
アルコール"
85,999999,アンバーライト IRP-64,,,アンバーライト IRP-64,メタクリル酸・ジビニルベンゼン共重合体
86,1050,アンモニア水,, 　＊,アンモニア水,アンモニア
87,500029,イオウ,,   ＊,イオウ,
88,111544,イソ吉草酸イソアミル,,,イソ吉草酸イソアミル,
89,108599,イソシアヌール酸,,,イソシアヌール酸,
90,108522,イソステアリルアルコール,,,イソステアリルアルコール,
91,111546,イソステアリルパルミテート,,,イソステアリルパルミテート,
92,103139,イソステアリン酸,,,イソステアリン酸,
93,111545,イソステアリン酸ヘキサデシル,,,イソステアリン酸ヘキサデシル,
94,100395,イソチオシアン酸アリル,,,イソチオシアン酸アリル,
95,120251,イソパラフィン,,,イソパラフィン,
96,110719,イソブタノール,,,イソブタノール,
97,1060,イソプロパノール,,   ＊,イソプロパノール,
98,120311,４，４’－イソプロピリデンジフェノール・１－クロロ－２，３－エポキシプロパン重合物フタル酸ジブチル液,＊,,４，４’－イソプロピリデンジフェノール・１－クロロ－２，３－エポキシプロパン重合物,４，４’－イソプロピリデンジフェノール・１－クロロ－２，３－エポキシプロパン重合体
,,,,,フタル酸ジブチル,
99,3024,イソボルニルチオシアノアセテート,,,イソボルニルチオシアノアセテート,
100,1062,イノシトール,,,イノシトール,
101,520128,５’－イノシン酸二ナトリウム,,,５’－イノシン酸二ナトリウム,５’－イノシン酸2Na
102,102180,イプシロン－アミノカプロン酸,,,イプシロン－アミノカプロン酸,アミノカプロン酸
103,120252,イボタロウ,,,イボタロウ,
104,103095,イリス根末,,,イリス根末,イリス根
105,1063,インジゴカルミン,, 　＊,インジゴカルミン,
106,520135,ウイキョウ,,   ＊,ウイキョウ,
107,107499,ウイキョウチンキ,＊,,ウイキョウチンキ,
,,,,　 ＊,エタノール,"エチルアルコール
アルコール"
108,107500,ウイキョウ末,,　 ＊,ウイキョウ末,ウイキョウ
109,2035,ウイキョウ油,,　 ＊,ウイキョウ油,
110,110136,ウコン抽出液,＊,,ウコン,
,,,,　 ＊,エタノール,"エチルアルコール
アルコール"
111,1070,ウルソデスオキシコール酸,,　 ＊,ウルソデオキシコール酸,
112,3600,液化石油ガス,,,液化石油ガス,石油ガス、LPG
113,120312,液化二酸化炭素,,,液化二酸化炭素,二酸化炭素
114,120253,液状エポキシ樹脂,,,液状エポキシ樹脂,エポキシ樹脂
115,111855,液状クマロン樹脂,,,液状クマロン樹脂,クマロン樹脂
116,1535,液状フェノール,,   ＊,液状フェノール,フェノール
117,122112,液状ポリイソプレンゴム,,,液状ポリイソプレンゴム,ポリイソプレンゴム
118,109939,液状ラノリン,,,液状ラノリン,ラノリン
119,109941,液体かせいカリ,,,液体かせいカリ,"水酸化K
かせいカリ"
120,110635,液糖,,,液糖,
121,109398,エステル化トウモロコシ油,,,エステル化トウモロコシ油,
122,102199,エステルガム,,,エステルガム,
123,108634,ＳＢＲ合成ラテックス,,,ＳＢＲ合成ラテックス,スチレン・ブタジエンラテックス
124,1075,エタノール,,    ＊,エタノール,"エチルアルコール
アルコール"
125,110566,エタノール５０,,,エタノール５０,"エタノール
エチルアルコール
アルコール"
126,110749,５５vol％エタノール,,,５５vol％エタノール,"エタノール
エチルアルコール
アルコール"
127,109570,７０vol％エタノール,,,７０vol％エタノール,"エタノール
エチルアルコール
アルコール"
128,102258,エチルセルロース,,,エチルセルロース,
129,120313,エチルセルロース水分散液,＊,,エチルセルロース,
,,,,    ＊,セタノール,
,,,,    ＊,ラウリル硫酸ナトリウム,ラウリル硫酸Na
130,109317,エチル尿素,,,エチル尿素,
131,102255,エチルバニリン,,,エチルバニリン,
132,122113,２－エチルヘキサン酸セチル,,,２－エチルヘキサン酸セチル,
133,109236,２－エチル－１，３－ヘキサンジオール,,,２－エチル－１，３－ヘキサンジオール,
134,102279,エチルヘキシル－イソプロピル－メチルビシクロ－オクト－ジカルボキシミド,,,エチルヘキシル－イソプロピル－メチルビシクロ－オクト－ジカルボキシミド,
135,102242,エチルマルトール,,,エチルマルトール,
136,109101,エチレンカーボネート,,,エチレンカーボネート,
137,102265,エチレングリコール,,,エチレングリコール,
138,100101,エチレングリコールエチルエーテル,,,エチレングリコールエチルエーテル,
139,102266,エチレングリコールモノブチルエーテル,,,エチレングリコールモノブチルエーテル,エチレングリコールブチルエーテル
140,109668,エチレングリコールモノメチルエーテル,,,エチレングリコールモノメチルエーテル,エチレングリコールメチルエーテル
141,120254,エチレン・酢酸ビニル共重合体,,,エチレン・酢酸ビニル共重合体,エチレン・酢酸ビニルコポリマー
142,120314,エチレン・酢酸ビニル共重合体９％ＶＡ,,,エチレン・酢酸ビニル共重合体９％ＶＡ,"エチレン・酢酸ビニル共重合体
エチレン・酢酸ビニルコポリマー"
143,2042,エチレンジアミン,,　 ＊,エチレンジアミン,
144,109216,エデト酸カルシウム二ナトリウム,,,エデト酸カルシウム二ナトリウム,エデト酸Ca/2Na
145,2043,エデト酸ナトリウム,,　 ＊,エデト酸ナトリウム,エデト酸Na
146,107215,エデト酸四ナトリウム,,,エデト酸四ナトリウム,エデト酸4Na
147,109055,エデト酸四ナトリウム四水塩,,,エデト酸四ナトリウム四水塩,エデト酸4Na
148,1085,エーテル,,,エーテル,
149,120315,エポキシ化ダイズ油,,,エポキシ化ダイズ油,エポキシ化大豆油
150,120255,エポキシヘキサヒドロフタル酸ジエステル,,,エポキシヘキサヒドロフタル酸ジエステル,
151,120256,エポキシヘキサヒドロフタル酸ジステアリル,,,エポキシヘキサヒドロフタル酸ジステアリル,
152,120316,エリスリトール,,,エリスリトール,
153,102189,エリソルビン酸,,,エリソルビン酸,
154,106658,エリソルビン酸ナトリウム,,,エリソルビン酸ナトリウム,エリソルビン酸Na
155,2045,塩化亜鉛,,　 ＊,塩化亜鉛,
156,109002,塩化亜鉛溶液,,,塩化亜鉛溶液,塩化亜鉛
157,100441,塩化アルミニウム,,,塩化アルミニウム,塩化Al
158,1097,塩化アンモニウム,,,塩化アンモニウム,
159,1098,塩化カリウム,,　 ＊,塩化カリウム,塩化K
160,1099,塩化カルシウム,, 　＊,塩化カルシウム,塩化Ca
161,5602,塩化セチルピリジニウム,,,塩化セチルピリジニウム,
162,120059,塩化第一スズ,,,塩化第一スズ,
163,2047,塩化第二鉄,,,塩化第二鉄,
164,1105,塩化ナトリウム,,　 ＊,塩化ナトリウム,塩化Na
165,1108,塩化ベンザルコニウム,,   ＊,塩化ベンザルコニウム,
166,500072,塩化ベンザルコニウム液,,　 ＊,塩化ベンザルコニウム液,塩化ベンザルコニウム
167,1110,塩化ベンゼトニウム,,　 ＊,塩化ベンゼトニウム,
168,500074,塩化ベンゼトニウム液,,   ＊,塩化ベンゼトニウム液,塩化ベンゼトニウム
169,103935,塩化マグネシウム,,,塩化マグネシウム,塩化Mg
170,1112,塩化メチルロザニリン,, 　＊,塩化メチルロザニリン,
171,1113,塩酸,,　 ＊,塩酸,
172,111562,塩酸アルギニン,,   ＊,塩酸Ｌ-アルギニン,塩酸アルギニン
173,500078,塩酸アルキルジアミノエチルグリシン液,,,塩酸アルキルジアミノエチルグリシン液,塩酸アルキルジアミノエチルグリシン
174,102519,塩酸グルコサミン,,,塩酸グルコサミン,
175,3638,塩酸クロルヘキシジン,,   ＊,塩酸クロルヘキシジン,
176,101634,塩酸システイン,,,塩酸システイン,
177,107443,塩酸トリエタノールアミン,,,塩酸トリエタノールアミン,
178,3678,Ｌ－塩酸ヒスチジン,,,Ｌ－塩酸ヒスチジン,
179,3674,塩酸メプリルカイン,,,塩酸メプリルカイン,
180,1177,塩酸リジン,,　 ＊,塩酸 L-リジン,塩酸リジン
181,103841,塩酸リドカイン,,,塩酸リドカイン,
182,105492,塩素酸カリウム,,,塩素酸カリウム,塩素酸K
183,110791,煙霧灯油,,,煙霧灯油,灯油
184,102290,オイゲノール,,,オイゲノール,
185,107704,黄酸化鉄,,,黄酸化鉄,酸化鉄
186,109059,黄色三二酸化鉄,,,黄色三二酸化鉄,三二酸化鉄
187,1733,黄色ワセリン,, 　＊,黄色ワセリン,ワセリン
188,1182,オウバク末,,　 ＊,オウバク末,オウバク
189,104806,オウヒエキス,,,オウヒエキス,
190,120076,オウレン,,   ＊,オウレン,
191,1184,オウレン末,,   ＊,オウレン末,オウレン
192,110082,４，４’－オキシビス（ベンゼンスルホニルヒドラジッド）,,,４，４’－オキシビス（ベンゼンスルホニルヒドラジッド）,
193,108980,オキシベンゾン,,,オキシベンゾン,
194,120317,オクタクロロジプロピルエーテル,,,オクタクロロジプロピルエーテル,
195,104791,オクチルデシルトリグリセリド,,,オクチルデシルトリグリセリド,
196,3805,オクチルドデカノール,,,オクチルドデカノール,
197,106708,オクチルフェノキシエトキシエチルエーテルスルホン酸ナトリウム,,,オクチルフェノキシエトキシエチルエーテルスルホン酸ナトリウム,オクチルフェノキシエトキシエチルエーテルスルホン酸Na
198,999999,オノニス根乾燥エキス,,,オノニス根乾燥エキス,オノニス根エキス
199,999999,オバスプレーK-1-24904,＊,　 ＊,無水エタノール,"エタノール
エチルアルコール
アルコール"
,,,,　 ＊,ヒドロキシプロピルセルロース,
,,,,　 ＊,酸化チタン,
,,,,,カルミン,
,,,,　 ＊,リボフラビン,ビタミンＢ２
200,999999,オパドライ　OY-6950,＊,　 ＊,ヒドロキシプロピルメチルセルロース2910,ヒドロキシプロピルメチルセルロース
,,,,　 ＊,酸化チタン,
,,,,　 ＊,マクロゴール400,"マクロゴール
ポリエチレングリコール"
,,,,,三二酸化鉄,
201,999999,オパドライ　OY-S-22829,＊,　 ＊,ヒドロキシプロピルメチルセルロース2910,ヒドロキシプロピルメチルセルロース
,,,,　 ＊,マクロゴール6000,"マクロゴール
ポリエチレングリコール"
,,,,　 ＊,酸化チタン,
,,,,,黄色三二酸化鉄,三二酸化鉄
202,999999,オパドライ　OY-S-22835,＊,　 ＊,ヒドロキシプロピルメチルセルロース2910,ヒドロキシプロピルメチルセルロース
,,,,　 ＊,マクロゴール6000,"マクロゴール
ポリエチレングリコール"
,,,,　 ＊,酸化チタン,
,,,,,黄色三二酸化鉄,三二酸化鉄
203,999999,オパドライ　OY-S-22961,＊,　 ＊,ヒドロキシプロピルメチルセルロース2910,ヒドロキシプロピルメチルセルロース
,,,,　 ＊,酸化チタン,
,,,,,エチルセルロース,
,,,,,黄色三二酸化鉄,三二酸化鉄
204,999999,オパドライ　OY-S-7135,＊,　 ＊,ヒドロキシプロピルメチルセルロース2910,ヒドロキシプロピルメチルセルロース
,,,,　 ＊,酸化チタン,
,,,,　 ＊,軽質無水ケイ酸,無水ケイ酸
205,999999,オパドライ　OY-S-8471,＊,　 ＊,ヒドロキシプロピルメチルセルロース2910,ヒドロキシプロピルメチルセルロース
,,,,　 ＊,酸化チタン,
,,,,,黄色三二酸化鉄,三二酸化鉄
206,999999,オパドライ　OY-S-9607,＊,　 ＊,ヒドロキシプロピルメチルセルロース2910,ヒドロキシプロピルメチルセルロース
,,,,　 ＊,酸化チタン,
,,,,　 ＊,タルク,
207,999999,オパドライベージュ,＊,　 ＊,ヒドロキシプロピルメチルセルロース,
,,,,　 ＊,酸化チタン,
,,,,,三二酸化鉄,
,,,,,黄色三二酸化鉄,三二酸化鉄
,,,,,黒色酸化鉄,酸化鉄
208,1191,オリブ油,,   ＊,オリブ油,
209,104831,オレイルアルコール,,,オレイルアルコール,
210,2062,オレイン酸,,,オレイン酸,
211,102246,オレイン酸エチル,,,オレイン酸エチル,
212,104830,オレイン酸オレイル,,,オレイン酸オレイル,
213,101696,オレイン酸デシル,,,オレイン酸デシル,
214,106709,オレイン酸ナトリウム,,,オレイン酸ナトリウム,オレイン酸Na
215,502029,α－オレフィンオリゴマー,,,α－オレフィンオリゴマー,オレフィンオリゴマー
216,104855,オレンジ,,,オレンジ,
217,104858,オレンジエキス, ＊,,オレンジエキス,
,,,, ＊,濃グリセリン(濃グリセリンを加えている場合),グリセリン
218,110156,オレンジエッセンス,＊, ＊,オレンジ油,
,,,,　 ＊,エタノール,"エチルアルコール
アルコール"
219,2063,オレンジ油,, 　＊,オレンジ油,
220,999999,カアトレジン,,,カアトレジン,
221,1193,カオリン,,   ＊ ,カオリン,
222,1194,カカオ脂,,   ＊,カカオ脂,
223,111963,カカオ末,,,カカオ末,カカオ
224,120078,カゴソウ,,   ＊,カゴソウ,
225,520287,加水分解ゼラチン末,,,加水分解ゼラチン末,加水分解ゼラチン
226,109198,加水分解デンプン加軽質無水ケイ酸,＊,,加水分解デンプン,
,,,,   ＊,軽質無水ケイ酸,無水ケイ酸
227,1665,加水ラノリン,,   ＊,加水ラノリン,ラノリン
228,110160,カスターワックス,,,カスターワックス,
229,1195,ガーゼ,,   ＊,ガーゼ,
230,101267,カゼイン,,,カゼイン,
231,120319,カゼイン製ペプトン,,,カゼイン製ペプトン,
232,106628,カゼインナトリウム,,,カゼインナトリウム,カゼインNa
233,999999,褐色酸化鉄,＊,,三二酸化鉄,
,,,,,黄色三二酸化鉄,三二酸化鉄
,,,,,黒色酸化鉄,酸化鉄
234,2078,果糖,,   ＊,果糖,
235,,果糖ブドウ糖液糖,,,果糖ブドウ糖液糖,
236,109689,"カプシカムフレーバー(Ａ、Ｂ、Ｃのいずれかで記載する)
配合目的が「香料」の場合はＡ
配合目的が「香料以外」の場合はＢ又はＣ",Ａ,,香料、エタノール,
,,,Ｂ＊,,カプシカムフレーバー(香料、エタノール),
,,,Ｃ＊,,香料,
,,,,　 ＊,エタノール,"エチルアルコール
アルコール"
237,1198,カプセル,,   ＊,記載不要、但し記載指定成分を含有する場合は記載すること。,
238,101213,カプタン,,,カプタン,
239,106623,カプリル酸ナトリウム,,,カプリル酸ナトリウム,カプリル酸Na
240,511014,カプリン酸,,,カプリン酸,
241,101233,カーボンブラック,,,カーボンブラック,
242,103310,カミツレ油,,,カミツレ油,
243,109190,カラギーナン,,,カラギーナン,
244,101214,カラメル,,,カラメル,
245,120060,カラヤガム末,,,カラヤガム末,カラヤガム
246,999999,カリオン 83,＊,　 ＊,Ｄ－ソルビトール,
,,,,　 ＊,Ｄ－マンニトール,
,,,,,水素添加オリゴ糖,水添オリゴ糖
247,2086,カリ石ケン,,   ＊,カリ石ケン,
248,105513,過硫酸カリウム,,,過硫酸カリウム,過硫酸K
249,103410,軽石粒,,,軽石粒,軽石
250,2087,カルナウバロウ,,   ＊,カルナウバロウ,
251,101219,カルバコール,,,カルバコール,
252,4003,カルバゾクロムスルホン酸ナトリウム,,　 ＊,カルバゾクロムスルホン酸ナトリウム,カルバゾクロムスルホン酸Na
253,101243,カルボキシビニルポリマー,,,カルボキシビニルポリマー,
254,101246,カルボキシメチルエチルセルロース,,,カルボキシメチルエチルセルロース,
255,110169,カルボキシメチルスターチナトリウム,,,カルボキシメチルスターチナトリウム,カルボキシメチルスターチNa
256,101254,カルミン,,,カルミン,
257,111587,カルメロース,,　 ＊,カルメロース,"カルボキシメチルセルロース
CMC"
258,111964,カルメロースカリウム,,,カルメロースカリウム,"カルメロースK
カルボキシメチルセルロースK
CMC-K"
259,110837,カルメロースカルシウム,,　 ＊,カルメロースカルシウム,"カルメロースCa
カルボキシメチルセルロースCa
CMC-Ca"
260,110838,カルメロースナトリウム,,　 ＊,カルメロースナトリウム,"カルメロースNa
カルボキシメチルセルロースNa
CMC-Na"
261,109695,カロチン液,＊,,β－カロチン,カロチン
,,,,　 ＊,流動パラフィン,
,,,,　 ＊,アラビアゴム,
,,,,　 ＊,プロピレングリコール,
,,,,,リン酸,
,,,,　 ＊,アスコルビン酸,ビタミンC
262,100836,β－カロチン,,,β－カロチン,カロチン
263,101196,カロペプタイド,,,カロペプタイド,
264,120016,還元水アメ,,,還元水アメ,
265,103319,還元麦芽糖水アメ,,,還元麦芽糖水アメ,
266,109974,還元ラノリン,,,還元ラノリン,
267,110452,感光素２０１号,,,感光素２０１号,
268,106575,含水二酸化ケイ素,,,含水二酸化ケイ素,二酸化ケイ素
269,507031,含水無晶形酸化ケイ素,,,含水無晶形酸化ケイ素,酸化ケイ素
270,120081,カンゾウ,,   ＊,カンゾウ,
271,1038,乾燥亜硫酸ナトリウム,,   ＊,乾燥亜硫酸ナトリウム,亜硫酸Na
272,500112,カンゾウエキス,,   ＊,カンゾウエキス,
273,504106,乾燥クロレラ,,,乾燥クロレラ,クロレラ
274,1246,乾燥酵母,,   ＊,乾燥酵母,酵母
275,1344,乾燥水酸化アルミニウムゲル,,   ＊,乾燥水酸化アルミニウムゲル,水酸化Al
276,2090,カンゾウ粗エキス,,   ＊,カンゾウ粗エキス,
